"Spec"	"Species names"	"BodyMass"	"sessile/mobile"	"Cluster"	"Shore Height 1 conservative"	"ShoreHt_C_Ordinal"	"ShoreHt_C_Breadth"	"Shore Height 2 restrictive"	"ShoreHt_R_Ordinal"	"ShortHt_R_Breadth"	"Phyllum"	"subphyllum"	"trophic"
"59"	62	"halopteris funicularis"	1.5	"S"	11	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Chaetophyta"	"Ephemeral"
"60"	63	"hildenbrandia lecanelieri"	0.07	"S"	11	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Crustose"
"61"	64	"Oulactis concinnata"	11	"S"	8	"mid, low"	1.5	2	"low"	1	1	"Cnidaria"	"Anthozoa"	"Scavenger"
"62"	65	"jhelius cirratus"	0.05	"S"	10	"high, mid"	2.5	2	"high, mid"	2.5	2	"Arthropoda"	"Crustacae"	"FilterFeeder"
"63"	66	"laurencia chilensis"	3.01	"S"	12	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Corticated"
"64"	67	"lessonia nigrescens"	15	"S"	6	"low"	1	1	"low"	1	1	"Algae"	"Phaeophyta"	"Kelp"
"65"	68	"lithothamnion spp."	0.04	"S"	6	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Crustose"
"66"	70	"mazzaella laminarioides"	3.86	"S"	10	"mid, low"	1.5	2	"mid"	2	1	"Algae"	"Rhodophyta"	"Corticated"
"67"	71	"montemaria horridula"	0.14	"S"	12	"mid, low"	1.5	2	"mid"	2	1	"Algae"	"Rhodophyta"	"Corticated"
"68"	72	"nothobalanus flosculus"	0.05	"S"	6	"mid, low"	1.5	2	"low"	1	1	"Arthropoda"	"Crustacae"	"FilterFeeder"
"69"	73	"nothochthamalus scabrosus"	0.05	"S"	10	"high, mid"	2.5	2	"high, mid"	2.5	2	"Arthropoda"	"Crustacae"	"FilterFeeder"
"70"	74	"nothogenia"	2.24	"S"	12	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Corticated"
"71"	75	"parantheopsis"	10	"S"	2	"mid, low"	1.5	2	"low"	1	1	"Cnidaria"	"Anthozoa"	"Scavenger"
"72"	76	"perumytilus purpuratus"	2.52	"S"	5	"mid"	2	1	"mid"	2	1	"Mollusca"	"Bivalvia"	"FilterFeeder"
"73"	77	"petalonia fascia"	2	"S"	12	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Phaeophyta"	"Corticated"
"74"	78	"petroglossum spp."	5	"S"	12	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Corticated"
